Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,COUNS  90A,1751,GURROLA D M,,,,,,7,1,,,,,,8

,,COUNS  90B,1752,GURROLA D M,,,,,,4,,,,,,,4
,,COUNS  90C,1753,GURROLA D M,,,,,,9,,,,,,,9
,,COUNS  90D,1754,GURROLA D M,,,,,,2,1,,,,,,3
Dance,DANCE,DANCE   2,1817,SUSILOWATI S,20,10,2,2,4,,,,,,3,1,42
,,,1818,SUSILOWATI S,11,4,3,1,3,,,,,,3,,25
,,,1819,VAN WORMER V M,14,7,8,,3,1,1,,,,2,,36
,,DANCE   5,1821,LEE J Y,3,4,9,3,4,,,,,,3,1,27
,,,3480,TOMASIC M T,8,7,5,5,4,,,1,,,6,,36
,,DANCE  11,1822,MORENO M O,9,,3,,2,,,,,,3,,17
,,DANCE  12,1823,MORENO M O,7,1,1,,2,,1,,,,3,,15
,,DANCE  14,1824,MORENO M O,7,,1,,1,,,,,,3,,12
,,DANCE  15,1825,MORENO M O,4,1,,,,,1,,,,,,6
,,DANCE  16,3276,MORENO M O,2,,,,,,,,,,,,2
,,DANCE  20,1826,CEBALLOS BE A,7,,,,,,,,,,,,7
,,DANCE  22,1827,RAMIREZ RA V,3,2,,1,,,,,,,4,,10
,,DANCE  23,1828,RAMIREZ RA V,1,,,,,,,,,,,,1
,,DANCE  25,1829,JORDAN A N,3,1,2,1,,,1,,,,4,,12
,,DANCE  25B,1830,JORDAN A N,,,1,,,,,,,,,,1
,,DANCE  31,1831,GAYDOS S C,11,2,1,,,,,,,,8,,22
,,,4071,RICHARDS C R,6,2,,,,1,,,,,,,9
,,DANCE  32,1832,MOLNAR CY A,4,2,,,,2,1,2,,,4,,15
,,DANCE  33B,1833,LEE J Y,4,3,,,2,,,,,,3,1,13
,,DANCE  34B,1834,LEE J Y,2,1,1,,,,,,,,,,4
,,DANCE  41,1835,MCDONALD K E,6,3,,,3,1,,,,,4,,17
,,DANCE  42,1837,AYBAY OWENS S,4,1,,,1,,1,,,,4,,11
,,DANCE  43B,1838,TOMASIC M T,5,,,,,,,,,,3,,8
,,DANCE  44B,1839,TOMASIC M T,2,1,,,,,,,,,,,3
,,DANCE  55A,1840,LEE J Y,8,3,,,1,,,,,,1,,13
,,DANCE  57A,1841,SUSILOWATI S,8,2,1,1,,,,,,,1,,13
,,DANCE  60,3416,VAN WORMER V M,6,2,,,,,,,,,,,8
,,DANCE  61,1843,VAN WORMER V M,3,2,,,,1,,,,,1,,7
,,,3423,VAN WORMER V M,7,,,,,,,,,,,,7
,,DANCE  62,3277,VAN WORMER V M,2,,,,,,,,,,2,,4
,,DANCE   77,3265,MORENO M O,9,1,,,1,,,,,,3,,14

,,DANCE  88A,3267,TOMASIC M T,,,,,,,,,,,1,,1
Design Technology,ANIM,ANIM    1,1124,KEESHEN J F,26,3,4,,,,,,,,6,,39
,,,4009,KEESHEN J F,19,7,7,,,,,,,,3,,36
,,ANIM    2,1125,KEESHEN J F,10,9,,,,,,,,,5,,24
,,,1126,BROWN S S,20,2,1,,,,,,,,,,23
,,ANIM    3,1127,FRIA C T,5,5,3,1,5,,,,,,5,,24
,,,1128,FRIA C T,5,3,3,1,2,1,,,,,9,,24
,,ANIM    4,1129,KLAUTKY E K,11,5,1,3,,,,,,,4,,24
,,,1130,KLAUTKY E K,11,6,2,2,,,,,,,1,,22
,,ANIM    5,1131,POIRIER N P,30,5,2,,,,,2,,,1,,40
,,ANIM   18,1132,MESSER J H,12,6,3,,5,,,,,,1,,27
,,ANIM   19,1133,MESSER J H,13,5,2,1,2,,,,,,2,,25
,,ANIM   20,1134,DAVIS J A,7,8,2,,1,,,,,,1,,19
,,,4010,KEESHEN J F,7,6,,,,,,,,,3,,16
,,ANIM   30,4011,HARLOW G,6,4,,,,,1,,,,3,,14
,,ANIM   35,1135,FRIA C T,12,1,1,,,,,,,,5,,19
,,ANIM   36,4012,WILLIAMS V J,15,,,2,2,,1,,,,1,,21
,,ANIM   40,4013,DAVIS J A,7,8,2,,2,1,,,,,7,,27
,,ANIM   75,1136,NAGEL J G,7,9,4,3,,,,,,,2,,25
,,ANIM   80,4014,KEESHEN J F,8,,1,,,,,,,,5,,14
,,ANIM   85,1137,FRIA C T,11,4,2,1,1,,,,,,5,,24
,ARC,ARC    10,1163,CORDOVA S A,8,4,,,5,,,1,,,4,,22
,,,1164,CORDOVA S A,12,3,,,2,,,,,,7,,24
,,,3388,CASTRO L C,7,4,3,,5,,1,,,,3,,23
,,ARC    11,1166,SOTO A J,7,1,2,2,6,,,,,,3,,21
,,,1167,SOTO A J,8,3,2,2,2,,,,,,5,,22
,,,3432,CAMBRON J,6,1,3,,3,1,,1,,,6,,21
,,ARC    20,1168,CAMBRON J,4,3,1,,,,1,,,,2,,11
,,ARC    21,1169,JACOBS R E,9,1,,,2,,2,,,,3,,17
,,,1170,ADAIR J S,8,11,,,4,,1,,,,5,,29
,,ARC    30,1171,GESKE P J,5,5,1,1,,,,,,,2,,14
,,ARC    31,1172,CAMBRON J,17,1,,,5,,,1,,,6,,30
,,ARC    32,1173,ELLSWORTH W,13,2,1,,,,,,,,1,1,18
,,ARC    41,1174,GARCIA JO,3,1,3,1,1,,1,,,,2,,12

,,ARC    70,1175,CASTRO L C,13,1,2,2,2,,,,,,2,,22
,DMPOST,DMPOST  1,4072,LOUIE W B,13,,1,,4,,,,,,5,,23
,,DMPOST  2,3431,JAVELOSA D A,8,4,3,2,1,,,,,,1,,19
,,,4073,PLATT H H,14,2,2,2,1,,,,,,1,,22
,,DMPOST  3,1846,LOUIE W B,12,2,,1,4,,,,,,6,,25
,,,1847,LOUIE W B,11,6,3,,1,,1,,,,7,,29
,,DMPOST  4,1848,ABODE JR P J,7,2,1,,2,,,,,,4,,16
,,DMPOST 20,1849,PLATT H H,,3,9,,,1,,2,,,6,,21
,,DMPOST 21,1850,JAVELOSA D A,5,,3,1,1,,1,,,,4,,15
,,DMPOST 30,1852,LOUIE W B,3,3,2,,3,,,1,,,7,,19
,,,1853,LOUIE W B,7,3,2,1,3,,1,,,,5,,22
,,DMPOST 32,3282,LOUIE W B,8,3,1,1,3,1,1,,,,8,,26
,,DMPOST 33,1854,UZAN D,5,4,1,,6,,,,,,3,,19
,,DMPOST 60,1855,LOUIE W B,7,3,1,,3,,1,,,,5,,20
,ET,ET     88C,2206,FRIA C T,,,,,,1,,,,,,,1
,GAME,GAME    1,2275,JAVELOSA D A,10,5,1,1,1,2,,,,,2,,22
,,GAME    2,2276,JAVELOSA D A,9,6,4,2,1,1,,,,,2,,25
,,GAME   10,2277,JAVELOSA D A,11,2,,,1,,,,,,2,,16
,GR DES,GR DES 18,2304,VRUWINK N R,15,3,,1,2,,,1,,,4,,26
,,,2305,VRUWINK N R,15,3,1,,2,,,,,,6,,27
,,,2306,VRUWINK N R,16,2,1,,2,,,,,,2,,23
,,,3424,SAUNDERS S,5,2,,,,,,,,,,,7
,,GR DES 31,2307,BADUEL Z M,5,7,,,,,,,,,5,,17
,,,2308,VRUWINK N R,12,6,1,1,,,,,,,6,,26
,,,3279,BADUEL Z M,3,6,1,,2,,,,,,6,,18
,,,4128,BADUEL Z M,4,3,1,1,3,,,,,,4,,16
,,GR DES 33,2309,VRUWINK N R,12,1,1,,1,,,1,,,4,,20
,,,2310,HILL R L,8,3,,,1,,,,,,6,,18
,,GR DES 34,2311,MAZZARA E,8,3,2,1,3,1,,,,,,,18
,,GR DES 38,2314,BADUEL Z M,5,4,3,1,1,,,,,,3,,17
,,,4129,BADUEL Z M,4,2,3,1,3,2,,,,,2,,17
,,GR DES 41,2315,DONON S G,9,6,2,1,,,,,,,2,,20
,,,5401,DONON S G,8,4,1,,2,,,,,,4,,19
,,GR DES 43,2316,TURNER L J,7,3,3,,2,,,,,,2,,17

,,,4130,TANAKA BONITA R,13,6,1,,1,,,,,,3,,24
,,GR DES 44,2317,TURNER L J,3,8,2,,1,,,,,,6,,20
,,GR DES 50,2318,TANAKA BONITA R,12,5,,,,,,,,,1,,18
,,,4295,TANAKA BONITA R,14,2,,,1,,,,,,2,,19
,,GR DES 51,2319,HILL R L,8,4,2,1,,,,,,,1,,16
,,GR DES 60,2320,JOHNSON L D,12,2,2,2,1,,,,,,2,,21
,,,2321,CHAN D J,10,2,1,,3,,,,,,2,,18
,,GR DES 61,2323,JOHNSON L D,10,1,,1,3,,,,,,4,,19
,,,4131,VACARRA J W,9,6,1,,1,,1,,,,4,,22
,,GR DES 62,2324,PATEL B,11,1,,,2,,,,,,4,,18
,,GR DES 64,2325,CHAN N R,16,2,,1,1,,,,,,1,,21
,,,2326,CHAN N R,18,,,,3,,,,,,2,,23
,,GR DES 65,2328,TRIVIZA A,4,5,,,5,1,,,,,7,,22
,,,3384,TORRES H,13,3,4,2,2,1,,,,,3,,28
,,GR DES 66,2329,BESLER I H,10,,3,,5,,,,,,5,,23
,,GR DES 67,2330,SAFIOULLINE M,1,4,,,1,,,1,,,2,,9
,,GR DES 71,4133,KELLEY M,16,1,2,1,2,,,,,,2,,24
,,,4134,GERDS E L,7,4,1,,6,,,,,,5,,23
,,GR DES 71B,4135,HEATON W B,6,4,,,4,,1,,,,5,,20
,,GR DES 75,2331,ANVARI S S,17,3,2,,2,,,,,,2,,26
,,GR DES 76,2332,ANVARI S S,5,2,1,1,1,,,2,,,3,,15
,,GR DES 90C,2336,CHAN N R,,,,,,1,,,,,,,1
,IARC,IARC   15,4137,NOONAN I,13,1,1,,,,,,,,7,,22
,,,4294,ADAIR J S,4,4,1,1,5,,,,,,5,,20
,,IARC   20,2414,HAO J Y,7,3,1,,1,,,1,,,2,,15
,,IARC   25,2415,GREGORY D K,,,,,,,,,14,,2,,16
,,IARC   30,2416,HAO J Y,5,3,1,,2,,,,,,3,,14
,,IARC   35,2417,MAGNO H R,14,,1,2,,,,,,,4,,21
,,IARC   40,2418,RABKIN B L,6,4,,,,,,1,,,,,11
,,IARC   63,3280,DUNPHY B E,3,1,,,,,,1,,,2,,7
,IXD,IXD    330,5402,SAFIOULLINE M,24,,1,,,,,,,,,,25
,,IXD    360,5403,SCHULER R M,17,5,3,,,,,,,,,,25
,,IXD    410,5003,JOHNSON L D,23,1,1,,,,,,,,,,25
,,IXD    430,5004,CHAN N R,22,,1,,,,,,,,,,23

,,IXD    470,5005,JOHNSON L D,16,5,1,,,,,1,,,,,23
,,IXD    480,5404,SAFIOULLINE M,9,6,5,,2,,,,,,,,22
,,IXD    483,5007,JOHNSON L D,1,,,,,,,,,,,,1
Disabled Stud,eCOUNS,COUNS  15H,1708,DEUEL E M,4,,,,1,,,,,,1,,6
,,COUNS  22H,1733,HAYNES C A,,,,,,1,,,,,,,1
,,COUNS  26,1734,THROCKMORTON E M,,,,,,,1,,,,,,1
,,COUNS  41H,1735,DEUEL E M,3,,,,3,,,,,,1,,7
,,COUNS  51,1741,FEINGOLD H,,,,,,8,1,,,,2,,11
,,COUNS  52,1742,FEINGOLD H,,,,,,6,,,,,1,,7
,,COUNS  53,1743,TERUYA S,,,,,,2,,,,,1,,3
,,COUNS  54,1744,AXELROD L,,,,,,5,,,,,1,,6
,,COUNS  56,1745,AXELROD L,,,,,,1,1,,,,2,,4
,,COUNS  57,1746,TERUYA S,,,,,,7,2,,,,,1,10
,,COUNS  59,1747,COURTO L,,,,,,,1,,,,3,,4
,,COUNS  921,7008,LEWIS S L,,,,,,,,,,,3,,3
Earth Sciences,ANTHRO,ANTHRO  1,1138,HARADON C M,19,6,,,,,,,,,,,25
,,,1139,DENMAN J F,14,13,8,,1,2,,,,,9,,47
,,,1140,LEWIS B S,7,4,4,7,5,1,,,,,15,,43
,,,1141,DENMAN J F,14,14,8,,3,2,,1,,,1,,43
,,,1142,DENMAN J F,17,15,5,,1,,,,,,5,,43
,,,1143,HARADON C M,37,3,1,,3,,,,,,1,,45
,,,1144,LEWIS B S,3,3,7,1,5,,1,,,,17,,37
,,,1145,HARADON C M,30,12,3,,,,,,,,1,,46
,,,4015,RASHIDI J S,4,1,6,1,4,,2,,,,4,,22
,,ANTHRO  2,1146,MINZENBERG E G,14,5,3,,,,,,,,3,,25
,,,1147,GREBLER G,26,10,,,,1,,1,,,3,,41
,,,1148,ZANE W W,12,8,3,5,3,1,,,,,11,,43
,,,1149,ZANE W W,6,7,4,3,3,,2,,,,14,,39
,,,1150,MINZENBERG E G,22,9,6,2,1,,,,,,5,,45
,,,1151,MINZENBERG E G,14,12,4,1,3,1,,,,,2,,37
,,,3508,MINZENBERG E G,13,6,5,,4,,2,,,,13,,43
,,ANTHRO  3,1152,LEWIS B S,8,4,1,1,,1,,,,,3,,18
,,,1153,LEWIS B S,6,8,5,4,4,1,1,,,,6,,35
,,ANTHRO  4,1154,LEWIS B S,5,3,1,3,2,1,2,1,,,4,,22

,,ANTHRO  5,1155,BREWSTER C P,17,5,2,,,,,,,,1,,25
,,,1156,FELDMEIER K J,22,6,2,1,1,,,,,,,,32
,,,1157,RASHIDI J S,9,10,8,1,1,,,,,,,,29
,,,1158,BREWSTER C P,5,19,9,,,,,,,,,,33
,,ANTHRO  7,4016,COHEN M M,20,8,4,,2,,,,,,,,34
,,ANTHRO 14,1159,STRAUSS E M,23,3,4,,4,,,,,,8,,42
,,ANTHRO 19,1160,MINZENBERG E G,11,3,3,,2,,,,,,2,,21
,,ANTHRO 22,1161,ZANE W W,14,13,2,3,1,1,,,,,6,,40
,ASTRON,ASTRON  1,1243,SCHWARTZ M J,28,8,1,,,2,,,,,4,,43
,,,1244,SALAMA A H,10,10,1,,2,1,,1,,,,,25
,,,1245,BALM S P,11,13,8,,4,2,1,,,,4,,43
,,,1246,BALM S P,7,19,8,3,2,1,1,,,,4,,45
,,,4023,RIVERA TORRES A,6,5,10,1,5,1,,,,,7,,35
,,ASTRON  2,1247,GOLDBAUM J M,7,11,2,,,,,,,,8,,28
,,,1248,SCHWARTZ M J,23,9,3,,1,,,,,,1,,37
,,,1249,ARIAS YOUNG T,19,6,5,1,8,2,,2,,,2,,45
,,ASTRON  3,1250,VANDEN HEUVEL A D,28,4,2,,1,1,,,,,3,,39
,,,1251,ARIAS YOUNG T,18,6,2,,3,1,,,,,2,,32
,,,1252,BALM S P,21,9,2,1,1,1,,,,,1,,36
,,,1253,BALM S P,23,7,3,,,1,,,,,2,,36
,,ASTRON  4,1254,SCHWARTZ M J,21,6,3,,,1,,,,,,,31
,,,1255,SCHWARTZ M J,19,8,1,2,,,,,,,2,,32
,,,1256,GOLDBAUM J M,5,8,4,,1,1,,,,,1,,20
,,,1257,SALAMA A H,7,12,5,1,3,,,,,,6,,34
,,ASTRON  5,1258,BALM S P,13,12,7,1,3,1,,,,,3,,40
,,ASTRON  6,1259,FOUTS G A,13,10,7,2,4,1,,,,,2,,39
,ENVRN,ENVRN   7,4095,LEDDY G,23,3,3,2,3,,,,,,1,,35
,ERTHSC,ERTHSC 88A,2177,MINZENBERG E G,4,3,1,,,,,,,,,,8
,,ERTHSC 88B,2178,MINZENBERG E G,4,,,,,,,5,,,1,,10
,GEOG,GEOG    1,2278,DRAKE V G,13,12,4,1,5,1,,,,,7,,43
,,,2279,ROBINSON C M,20,10,6,,4,,,,,,3,,43
,,GEOG    2,2280,MORRIS P S,4,6,5,3,2,1,,,,,2,,23
,,GEOG    3,2281,LIU J,17,14,,1,4,1,1,1,,,6,,45
,,GEOG    5,2282,OWENS R,18,8,3,,,,,,,,3,,32

,,,2283,LIU J,8,1,6,2,,,,,,,6,,23
,,,2284,O'KEEFE R,18,6,1,,3,,,,,,2,,30
,,,2285,KRANZ J,3,6,9,2,3,1,,,,,5,,29
,,,3461,WHITE T M,12,2,3,1,4,2,1,,,,6,,31
,,GEOG    7,4121,LEDDY G,6,1,,1,,,,,,,,,8
,,GEOG    8,2286,MORRIS P S,,,2,,1,,,,,,,,3
,,,2287,MORRIS P S,2,2,2,3,2,,,,,,2,,13
,,GEOG   11,2288,MORRIS P S,4,10,3,,4,,,,,,1,,22
,,GEOG   14,2289,MORRIS P S,7,6,5,3,10,5,,,,,6,,42
,,GEOG   20,4122,LIU J,7,1,,1,3,1,,1,,,3,,17
,,GEOG   23,4123,LIU J,2,,,,2,,,,,,2,,6
,GEOL,GEOL    1,2290,HALL J M,11,6,3,1,2,,,,,,4,,27
,,,2291,SEDKI Z,16,9,3,3,2,,1,,,,3,,37
,,GEOL    4,2294,HALL J M,15,7,1,,5,,,,,,,,28
,,,2295,MELENDEZ C,16,2,4,1,,,,,,,2,,25
,,,2296,SEDKI Z,12,11,2,1,1,,,,,,3,,30
,,,2297,MELENDEZ C,25,4,4,,,1,,,,,1,,35
,,GEOL    5,2298,GRIPPO A,13,9,3,1,1,1,,,,,4,,32
,,GEOL   31,2299,COLLINS L E,21,9,7,2,4,,,,,,1,,44
,,,2300,GRIPPO A,18,12,1,,5,2,,,,,1,,39
,,GEOL    32,2292,COLLINS L E,24,4,1,,1,2,,,,,2,,34
,,,2293,COLLINS L E,13,8,2,,3,,1,,,,4,,31
,GIS,GIS    20,4125,LIU J,5,2,1,,4,,,,,,5,,17
,,GIS    23,4126,LIU J,7,1,2,,3,,,1,,,2,,16
,GLOBAL,GLOBAL 11,2303,MORRIS P S,8,5,2,,,,,,,,4,,19
,RRM,RRM     1,3150,CHARLES V H,9,3,2,,2,,,,,,3,,19
,,RRM     2,4273,CHARLES V H,8,7,1,1,1,,,,,,4,,22
,,RRM     3,3151,HULS J M,22,1,1,,,1,,,,,5,,30
,,RRM     4,4274,SASU S,7,2,,,2,1,,,,,2,,14
,SST,SST    901,7058,CHARLES V H,,,,,,6,7,,,,7,,20
,,SST    904,7059,O'CAIN K A,,,,,,6,3,,,,3,,12
,,SST    905,7060,HULS J M,,,,,,12,3,,,,1,,16
,,SST    906,7061,HULS J M,,,,,,10,6,,,,1,,17
,,SST    909,7062,GREBLER G,,,,,,10,9,,,,2,,21

,URBAN,URBAN   8,3230,MORRIS P S,4,,,2,1,1,,,,,1,,9
,,,3231,MORRIS P S,4,5,4,5,1,,,,,,5,,24
Education/ECE,ECE,ECE     2,1857,POURROY D M,19,3,5,,1,,,,,,2,,30
,,,1858,POURROY D M,15,4,2,,3,,,,,,4,,28
,,,1859,POURROY D M,17,4,6,,2,,,,,,1,,30
,,,1860,RICHARD C,14,4,1,,3,,1,,,,8,,31
,,ECE     4,1861,LOPEZ JE,18,3,2,,2,,,,,,3,,28
,,ECE     5,3429,OCHOA D,13,5,4,1,2,,,,,,3,,28
,,ECE     8,1862,ELAM E J,14,2,2,1,4,,,,,,5,,28
,,ECE    11,1864,GUNN A C,18,6,2,,,,,,,,7,,33
,,,1865,MOSLEY K R,15,2,4,,4,,,,,,1,,26
,,,1866,ANDREWS T D,13,1,5,,4,,,,,,,,23
,,,1867,ANDREWS T D,10,4,1,2,3,,,,,,,,20
,,,1868,MOSLEY K R,17,5,1,1,,,,,,,3,,27
,,,1869,LOPEZ JE,12,6,1,,5,,,,,,7,,31
,,ECE    17,1870,BACKLAR N P,23,2,,1,6,,1,,,,2,,35
,,,1871,BACKLAR N P,11,4,4,,3,,,,,,4,,26
,,,3430,RICHARD C,8,3,,1,3,,,,,,1,,16
,,ECE    19,1872,ELAM E J,22,2,4,1,5,,,,,,,,34
,,,1873,ELAM E J,19,,1,,4,,,1,,,4,,29
,,,3414,BACKLAR N P,10,8,1,1,1,,,,,,6,,27
,,ECE    21,4076,MILLER CA L,20,,,,6,,,1,,,1,,28
,,,4077,MILLER CA L,10,3,,,8,,,1,,,3,,25
,,ECE    22,4078,MILLER CA L,17,,,,,,,,,,,,17
,,,4079,MILLER CA L,12,1,,,2,,,2,,,1,,18
,,ECE    23,4080,JOACHIM S L,5,1,,,1,,,1,,,,,8
,,ECE    28,1875,MALDONADO S M,4,,,1,1,,,,,,,,6
,,ECE    29,1876,GRACE Y H,4,1,,,2,,,,,,2,,9
,,ECE    30,1877,JOACHIM S L,18,4,2,,3,,,,,,2,,29
,,ECE    32,1878,PARISE W A,10,2,2,2,1,,,,,,1,,18
,,ECE    41,1879,GUNN A C,8,3,1,,,,,,,,,,12
,,ECE    43,1880,GUNN A C,8,2,1,,,,,,,,1,,12
,,ECE    45,1881,JOACHIM S L,15,5,2,,2,,,,,,2,,26
,,,1882,JOACHIM S L,5,7,3,,1,,,,,,4,,20

,,ECE    46,1883,GRACE Y H,5,3,2,,2,,,,,,,,12
,,,1884,GRACE Y H,5,6,7,,3,,1,,,,8,1,31
,,ECE    49,1885,JOACHIM S L,5,3,1,,1,,,,,,,,10
,,ECE    51,1886,KHOKHA E W,8,2,,1,1,,,,,,4,,16
,,ECE    54,1887,KHOKHA E W,12,2,,1,,,,,,,2,,17
,,ECE    64,1888,ELAM E J,20,3,,,7,,,,,,2,,32
,,,1889,ELAM E J,20,5,2,,6,,,,,,3,,36
,,ECE    71,1890,GRACE Y H,14,3,,2,2,,1,,,,2,,24
,,ECE    76,1892,MANSON L J,17,2,,,1,,,,,,3,,23
,,ECE    77,1893,MANSON L J,22,1,,,1,,,,,,2,,26
,,ECE    900,7012,RODDY L L,,,,,,88,,,,,7,,95
,,,7013,RODDY L L,,,,,,29,,,,,,,29
,,ECE    901,7014,ALVAREZ HERNAND L,,,,,,11,4,,,,1,,16
,,ECE    902,7015,ALVAREZ HERNAND L,,,,,,12,6,,,,,,18
,,ECE    903,7016,ALVAREZ HERNAND L,,,,,,10,3,,,,,,13
,EDUC,EDUC   12,1932,PEREZ-FERNANDEZ L,7,1,2,,,1,,,,,7,,18
Emeritus,ART,ART    E00,9702,ADAMS L K,,,,,,,,,,,1,,1
,,,9705,HERO C J,,,,,,,,,,,1,,1
,,ART    E15,9706,HERO C J,,,,,,,,,,,1,,1
,,,9707,TIRR C A,,,,,,,,,,,3,,3
,,ART    E16,9709,HARRISON A B,,,,,,,,,,,5,,5
,,ART    E19,9710,TIRR C A,,,,,,,,,,,1,,1
,,,9711,HARRISON A B,,,,,,,,,,,2,,2
,,,9713,BURCHMAN J H,,,,,,,,,,,1,,1
,,ART    E20,9714,DONON S G,,,,,,,,,,,4,,4
,,ART    E21,9718,HARRISON A B,,,,,,,,,,,5,,5
,,,9719,ADAMS L K,,,,,,,,,,,1,,1
,,ART    E22,9720,MANSEAU F J,,,,,,,,,,,2,,2
,,,9721,MANSEAU F J,,,,,,,,,,,4,,4
,,ART    E30,9723,MANSEAU F J,,,,,,,,,,,3,,3
,,,9724,TIRR C A,,,,,,,,,,,1,,1
,,,9725,TIRR C A,,,,,,,,,,,1,,1
,,,9726,HARRISON A B,,,,,,,,,,,10,,10
,,ART    E55,9727,BENSON J K,,,,,,,,,,,1,,1

,BILING,BILING E02,9731,ISNER-BALL D R,,,,,,,,,,,2,,2
,ENGL,ENGL   E20,9734,DWYER F,,,,,,,,,,,1,,1
,,ENGL   E22,9735,WALI M,,,,,,,,,,,1,,1
,,ENGL   E24,9739,JENKS G,,,,,,,,,,,1,,1
,,ENGL   E25,9740,ACHORN J C,,,,,,,,,,,1,,1
,,ENGL   E29,9742,DWYER F,,,,,,,,,,,1,,1
,,ENGL   E30,9743,KRONSBERG G J,,,,,,,,,,,1,,1
,,ENGL   E33,9745,WALI M,,,,,,,,,,,3,,3
,,,9746,FOX JR R W,,,,,,,,,,,1,,1
,,ENGL   E37,9750,KRONSBERG G J,,,,,,,,,,,2,,2
,HEALTH,HEALTH E21,9751,DEE D,,,,,,,,,,,1,,1
,,,9752,COOPER M,,,,,,,,,,,2,,2
,,,9754,ROSEMAN T,,,,,,,,,,,3,,3
,,,9755,DEE D,,,,,,,,,,,2,,2
,,HEALTH E22,9756,HOLTZERMANN C,,,,,,,,,,,2,,2
,,HEALTH E23,9841,NARDINI A S,,,,,,,,,,,3,,3
,,HEALTH E24,9763,WAPNER-BAART L J,,,,,,,,,,,5,,5
,,,9764,WAPNER-BAART L J,,,,,,,,,,,1,,1
,,,9766,TERRY JR P W,,,,,,,,,,,1,,1
,,HEALTH E25,9768,REGALADO O,,,,,,,,,,,1,,1
,,,9769,REGALADO O,,,,,,,,,,,3,,3
,,,9772,WAPNER-BAART L J,,,,,,,,,,,6,,6
,,HEALTH E30,9773,EVANS JAMI R,,,,,,,,,,,5,,5
,,HEALTH E34,9774,HOLTZERMANN C,,,,,,,,,,,7,,7
,,,9775,COOPER M,,,,,,,,,,,1,,1
,,,9776,ROSEMAN T,,,,,,,,,,,6,,6
,,HEALTH E38,9777,WAPNER-BAART L J,,,,,,,,,,,2,,2
,,,9780,REGALADO O,,,,,,,,,,,1,,1
,,HEALTH E63,9782,DEUEL E M,,,,,,,,,,,1,,1
,,,9836,JAFFE A O,,,,,,,,,,,1,,1
,HUMDEV,HUMDEV E15,9789,ACHORN J C,,,,,,,,,,,1,,1
,,HUMDEV E27,9794,FRAND L,,,,,,,,,,,1,,1
,,,9795,NICHOLLS J,,,,,,,,,,,1,,1
,,,9796,FRAND L,,,,,,,,,,,1,,1

,,,9840,FRAND L,,,,,,,,,,,2,,2
,MUSIC,MUSIC  E02,9799,TERRY JR P W,,,,,,,,,,,1,,1
,,MUSIC  E03,9800,BRYANT W,,,,,,,,,,,1,,1
,,MUSIC  E04,9801,JACKSON L R,,,,,,,,,,,1,,1
,,MUSIC  E32,9805,PETERSON J D,,,,,,,,,,,1,,1
,,,9806,HETZ M L,,,,,,,,,,,4,,4
,,MUSIC  E51,9809,HETZ M L,,,,,,,,,,,1,,1
,OCC,OCC    E00,9811,WOOLEN D W,,,,,,,,,,,1,,1
,,OCC    E01,9812,WOOLEN D W,,,,,,,,,,,2,,2
,,OCC    E10,9814,SIMMONDS A R,,,,,,,,,,,1,,1
,,OCC    E20,9816,SIMMONDS A R,,,,,,,,,,,1,,1
,POL SC,POL SC E00,9821,MILLAN B A,,,,,,,,,,,2,,2
,,,9822,REINER M,,,,,,,,,,,1,,1
,,,9823,TRIVES N,,,,,,,,,,,10,,10
,TH ART,TH ART E01,9826,GANNEN B,,,,,,,,,,,2,,2
,,,9827,GANNEN B,,,,,,,,,,,3,,3
,,TH ART E05,9829,ABATEMARCO A M,,,,,,,,,,,1,,1
English,ENGL,ENGL    1,1933,DRISCOLL L V,7,6,2,,2,,,,,,13,1,31
,,,1934,KRUG J M,7,4,3,9,,,,,,,2,,25
,,,1935,LIVANIS L,4,2,4,1,6,,,,,,6,,23
,,,1936,GILDNER B J,2,4,1,4,,,,,,,6,,17
,,,1937,STIRLING M S,1,4,2,2,4,,,,,,8,,21
,,,1938,BOSTICK J D,2,1,2,2,,,1,1,,,13,,22
,,,1939,SOSNER J A,4,4,2,1,5,1,,,,,6,,23
,,,1940,DRISCOLL L V,6,9,2,5,1,,,,,,,,23
,,,1941,PADILLA M R,4,6,,,1,,,,,,9,,20
,,,1942,HIOUREAS E C,1,4,2,,4,,,,,,11,,22
,,,1943,GILDNER B J,2,4,,7,,,,,,,9,,22
,,,1944,PAIK-SCHOENBERG J,1,6,2,3,10,,,,,,11,,33
,,,1945,HERBERT S,3,4,2,1,8,,,,,,2,,20
,,,1946,ONUGHA E L,16,5,1,,4,,,2,,,4,,32
,,,1948,SCHNITZLER A P,5,6,,7,,,,,,,6,,24
,,,1949,DURAN A,1,4,1,,9,,,4,,,5,,24
,,,1950,KARRON R,7,7,1,,5,,,,,,4,,24

,,,1951,GARNICA A M,,1,1,1,10,,,,,,9,,22
,,,1952,BARHAM A C,10,,,1,4,,1,,,,8,,24
,,,1953,WEATHERFORD K C,9,2,1,2,4,,,,,,4,,22
,,,1954,GILDNER B J,5,2,1,3,,,,,,,9,,20
,,,1955,VISHWANADHA H,,,7,3,15,,,1,,,6,,32
,,,1956,LIVANIS L,2,3,1,,7,,,,,,8,,21
